	B_cells	CD4_T_cells	CD8_T_cells	CD8_T_cells_PD1_high	CD8_T_cells_PD1_low	Endothelium	Fibroblasts	Lymphocytes	Macrophages	Macrophages_M1	Macrophages_M2	Monocytes	Monocytic_cells	NK_cells	Neutrophils	Non_plasma_B_cells	Other	Plasma_B_cells	Stromal_cells	T_cells	T_helpers	Tregs	Tumor
VIC-020	31.0528721723164	30.9289116192516	11.9667754778964	6.80184976139895	5.16492571649743	4.4216562776984	6.46306523857873	74.2934053272255	4.08604537190127	1.69698929253676	2.38905607936451	0.315219154094878	4.40126452599615	0.344846057761168	0.1840167731544	15.4763576773655	10.2365918573468	15.5765144949509	10.8847215162771	42.895687097148	18.6103997090364	12.3185119102153	10.2365918573468
VIC-025	0.189799603316021	0.02286600855614	1.09767987405558	0.568204796412174	0.52947507764341	0.210514229140659	2.44169405616506	1.67746766807549	0.986608822454409	0.553189435430348	0.433419387024061	0.024010242270436	1.01061906472484	0.367122182147741	0.617251747876718	0.179483619061933	94.0424532340172	0.010315984254087	2.65220828530572	1.12054588261172	0.005344018224416	0.017521990331723	94.0424532340172
VIC-026	26.7571846526976	20.0635559442076	10.9717003201345	6.63381085370531	4.33788946642916	2.22462852928602	5.82307934281499	58.8434040067408	6.48336321385089	1.44446345553051	5.03889975832038	0.680879327294588	7.16424254114548	1.05096308970116	4.5448648194365	0.490714479656183	21.3997807605762	26.2664701730414	8.04770787210101	31.0352562643421	6.61296226274855	13.450593681459	21.3997807605762
VIC-031	11.7668516422098	14.543762879525	10.7255138647198	5.85173172420932	4.8737821405105	7.7244157081173	15.8112425735831	37.4517269718284	6.85279407603658	1.21957004111409	5.63322403492249	1.87921114390221	8.73200521993878	0.415598585373684	6.50059135288962	1.68390001188909	23.7800181736428	10.0829516303208	23.5356582817004	25.2692767442449	7.2658583189541	7.27790456057093	23.7800181736428
VIC-041	19.2138000034445	22.5726289168271	23.3724164394604	14.5155886211014	8.85682781835893	6.48505222161528	9.01694828851409	65.4063158844216	7.34828057729422	1.74767968695745	5.60060089033677	0.423322629140778	7.771603206435	0.247470524689624	1.76242724347276	3.20575358594743	9.55765315554127	16.0080464174971	15.5020005101294	45.9450453562875	10.2038572941943	12.3687716226328	9.55765315554127
VIC-033	5.24366687086682	14.0583678457204	4.65176192916785	2.76828862784561	1.88347330132224	14.9002925314896	20.1770118708978	24.6148647925878	24.2914801412212	3.38653447712351	20.9049456640976	2.04455139109161	26.3360315323128	0.661068146832752	9.10482894326516	0.943609193856076	4.86697032944684	4.30005767701075	35.0773044023875	18.7101297748882	4.16730345103364	9.89106439468672	4.86697032944684
VIC-034	3.25896039454327	3.79192716857772	7.67864589586773	3.51857098849181	4.16007490737592	18.800703861294	9.3018676595778	15.6621383777149	11.0837567369634	2.85073154734214	8.2330251896213	0.422779963264138	11.5065367002276	0.932604918726137	2.52763033007482	0.650871370711249	42.2011230711109	2.60808902383202	28.1025715208718	11.4705730644454	3.29381367277283	0.498113495804885	42.2011230711109
VIC-042	7.58410713634297	40.2874546631455	10.5747118011706	6.04700632933491	4.52770547183573	3.22388965440829	9.17440215166087	58.5889036691118	17.2840969063415	1.47349181459557	15.8106050917459	1.9409381762881	19.2250350826296	0.142630068452683	1.95397446514455	2.496567084702	7.83379497704492	5.08754005164098	12.3982918060692	50.8621664643161	14.927698216678	25.3597564464675	7.83379497704492
VIC-055	6.42820199147051	13.4882694627693	15.0809898719484	8.23785405011242	6.84313582183602	10.6418428795203	11.8092866482391	36.8399369005963	14.7611855625421	4.70076964586211	10.06041591668	0.844984319374386	15.6061698819165	1.84247557440813	6.47005879773636	3.05182808579135	18.6327048919914	3.37637390567916	22.4511295277594	28.5692593347177	7.43445853056337	6.05381093220589	18.6327048919914
VIC-019-CL	23.775535410716	19.3101917432512	8.20858055768996	5.09647722950026	3.1121033281897	0.511504942955918	0.195923556855005	52.8659876038553	12.5857235838881	9.60436876420856	2.98135481967958	0.427830947311135	13.0135545311993	1.57167989219813	0.378449272785167	2.41252300247176	33.0345800923494	21.3630124082442	0.707428499810923	27.5187723009412	7.49347357296614	11.8167181702851	33.0345800923494
VIC-020-CL	15.0193797808453	45.9132636498298	13.0002802136681	10.7614987062247	2.23878150744341	0.396411770459754	0.327269236507532	75.4069497240511	11.9268548761071	8.96347425621872	2.9633806198884	0.573391755828898	12.500246631936	1.47402607970787	2.82665631728844	11.8191869436304	8.54246631975714	3.20019283721491	0.723681006967286	58.9135438634979	26.7047259890477	19.2085376607821	8.54246631975714
VIC-025-CL	31.4806028849134	12.0288066016734	2.60778131617348	1.95762068876457	0.650160627408906	1.30041286058347	2.14223395303442	47.2959994633494	24.2115261921972	19.8557817481698	4.35574444402737	0.903589661420303	25.1151158536175	1.17880866058913	9.77755857662438	31.4511814179409	14.3686792927908	0.029421466972479	3.44264681361789	14.6365879178468	5.82723854910472	6.20156805256863	14.3686792927908
VIC-026-CL	13.8210533097014	26.1681777810198	15.1898344849099	11.0709282140511	4.11890627085877	0.265530798022767	0.262998564617831	57.0353374190076	18.9263894260217	13.16591800855	5.76047141747165	1.95687836606026	20.8832677920819	1.85627184337657	11.7790911417692	0.147892327678218	9.77377428450066	13.6731609820232	0.528529362640598	41.3580122659297	6.7525591689029	19.4156186121169	9.77377428450066
VIC-031-CL	18.0380513144957	17.8468744813152	11.8474089544823	8.04886161604085	3.79854733844141	0.223036761938963	4.154588337755	48.3491461905247	15.2711217559838	11.4697393886368	3.80138236734693	0.919870620646323	16.1909923766301	0.616811440231498	3.70214472520325	0.716959348807839	27.380091607948	17.3210919656879	4.37762509969397	29.6942834357975	7.3873956448524	10.4594788364628	27.380091607948
VIC-041-CL	10.8190628466665	34.0188971084429	30.9946787600611	27.9128531017455	3.0818256583156	0.194763548970752	0.147625034948842	77.0606449134867	13.7463379202878	9.40559842201988	4.34073949826793	1.27260352634952	15.0189414466373	1.22800619831615	4.03485860037802	6.1963723714891	3.54316645557842	4.62269047517743	0.342388583919595	65.013575868504	21.1204789390918	12.898418169351	3.54316645557842
VIC-017-CL	2.08966381475981	21.8255000129577	19.2880936448406	12.9432060199638	6.34488762487677	3.46771719326215	0.782265247717171	44.571059203938	22.160514374957	9.72639222013207	12.4341221548249	1.01499605915178	23.1755104341088	1.36780173137994	3.03478710524175	0.324816069516796	24.9686608157321	1.76484774524301	4.24998244097932	41.1135936577983	10.3670678082605	11.4584322046972	24.9686608157321
VIC-033-CL	0.616085762975688	6.21405520971839	3.67927335954793	2.0752477958796	1.60402556366833	0.480315286101979	0.241665400235453	11.5527659696223	5.79119191882654	3.79698307891655	1.99420883990999	1.01428672953069	6.80547864835723	1.04335163738033	20.1406482816034	0.154151819385098	60.7791264140796	0.461933943590591	0.721980686337431	9.89332856926632	1.47971780227223	4.73433740744616	60.7791264140796
VIC-034-CL	0.14888188435369	2.32129649869228	1.33921845052709	0.758618518160224	0.580599932366865	0.12641856338758	0.034658366100084	3.9020186838516	72.8697926414552	46.6743573574901	26.195435283965	0.264955095068097	73.1347477365233	0.092621850278542	2.1161053840783	0.045937203907479	20.6860512660592	0.102944680446211	0.161076929487664	3.66051494921937	1.61619274980465	0.705103748887635	20.6860512660592
VIC-042-CL	4.37462344816187	42.382022136711	14.1672319055217	10.7754343136341	3.39179759188758	0.099379173513276	0.069899405240185	62.508822203949	20.2446728740173	11.4236996054313	8.82097326858603	2.89597828882316	23.1406511628405	1.58494471355443	8.28734905186655	3.89329293933096	5.8938990025905	0.481330508830912	0.169278578753461	56.5492540422327	19.4956080322059	22.8864141045051	5.8938990025905
VIC-055-CL	3.01191783812293	22.8890131950105	22.5904639961639	17.1052695486881	5.4851944474758	0.130614017260902	0.328458899655508	52.4769280506095	24.3648964299375	17.848425806546	6.51647062339145	1.89531926509769	26.2602156950351	3.98553302131221	11.1643360115138	1.66909345782431	9.6394473259251	1.34282438029862	0.459072916916411	45.4794771911744	9.76150593600524	13.1275072590053	9.6394473259251
