	B_cells	CD4_T_cells	CD8_T_cells	CD8_T_cells_PD1_high	CD8_T_cells_PD1_low	Endothelium	Fibroblasts	Immune_general	Lymphocytes	Macrophages	Macrophages_M1	Macrophages_M2	Monocytes	Monocytic_cells	Myeloid_cells	NK_cells	Neutrophils	Non_plasma_B_cells	Other	Plasma_B_cells	Stromal_cells	T_cells	T_helpers	Tregs	Tumor
VIC-020	23.6182928115433	7.56418738101635	2.934794813359	1.6706759731627	1.2641188401963	10.3480047242077	14.7792018262843	41.7176838808305	31.4765441116469	6.33893110110751	1.77938436653412	4.55954673457339	0.154627412342841	6.49355851345035	7.53641977632939	0.084330666421979	0.016684882857967	3.88922080200071	34.160944380859	19.7290720095426	25.127206550492	10.4989821943754	4.54567988376293	3.01850749725342	34.160944380859
VIC-025	0.017754941166801	0.001742676274735	0.083637259589702	0.043290682346489	0.040346577243213	0.153419621942725	1.74301545963006	0.53462981355953	0.065303498244679	0.439572264879521	0.180781098080998	0.258791166798523	0.003655287249534	0.443227552129055	0.32133183636862	0.027984424482001	0.017420766873686	0.01366163202415	97.5117972979112	0.004093309142652	1.89643508157279	0.085379935864437	0.000407262017732	0.001335414257004	97.5117972979112
VIC-026	23.4868169683983	3.42991632679796	1.87844180371471	1.13623261248458	0.742209191230133	3.64140439986616	9.32637675349542	29.626808178254	21.2146938504026	7.81902425608682	1.05862144719303	6.76040280889379	0.234044901601981	8.0530691576888	9.13699920054746	0.179563984261055	0.28793654023237	0.084244548940922	49.7164740655452	23.4025724194574	12.9677811533616	5.30835813051267	1.13238462305556	2.2975317037424	49.7164740655452
VIC-031	7.97216126103927	2.13562946158861	1.57427860390514	0.859062002303505	0.715216601601637	10.8585719709386	21.7744838353883	18.5922095899749	9.41064750474879	7.25805748233781	0.76721192075832	6.49084556157949	0.552056147352984	7.81011362969079	8.2348985279227	0.061207685156342	0.354240034488015	0.246481137580292	47.4593135178049	7.72568012345897	32.633055806327	3.70990806549375	1.06716946085575	1.06846000073286	47.4593135178049
VIC-041	18.7156060190421	4.88485894838853	5.0584437262492	3.14238066844439	1.91606305780481	13.4278065498075	18.2801305961971	35.2111303832554	24.3645943526558	11.1203469946798	1.62887777012744	9.49146922455237	0.184056150316579	11.3044031449964	10.511443775322	0.053671626422863	0.141305873834982	0.699869922512361	28.1337735150613	18.0157360965298	31.7079371460046	9.94330267463773	2.208217788586	2.67664115980253	28.1337735150613
VIC-033	3.72807277968428	2.24366032229039	0.74337707292454	0.442350746971759	0.301026325952781	22.7912760768485	30.192606444264	33.6216126079826	6.01557285079351	28.4965503752924	2.33019610591135	26.166354269381	0.654689026419475	29.1512394017118	28.8956447520546	0.105349679038235	0.539937915539256	0.149967721100439	10.504480307699	3.57810505858384	52.9838825211125	2.98703739521493	0.665139029410463	1.57852129287993	10.504480307699
VIC-034	1.50163222185327	0.400343723449115	0.812092897800396	0.372098377745993	0.439994520054403	19.0108989287104	9.20820250097167	10.3431916797267	2.56778381493965	8.11310422912414	1.29246211392668	6.82064211519746	0.089616743262223	8.20272097238637	7.35987196097494	0.09845798854459	0.099043520063956	0.068665184959669	60.6666072462203	1.4329670368936	28.219101429682	1.21243662124951	0.34777625757417	0.052567465874945	60.6666072462203
VIC-042	6.61593553813024	9.19520367419577	2.41362810475732	1.38166608440511	1.03196202035221	7.03591877040202	19.6127470960168	46.8090253225061	16.9731608477837	29.7240293067294	1.44545843813971	28.2785708685896	0.885453275598923	30.6094825823283	31.0516699591601	0.032552332041176	0.165342023707594	0.569595032216101	24.3191898784208	6.04634050591414	26.6486658664188	11.6088317789531	3.40846586723701	5.78673780695876	24.3191898784208
VIC-055	3.32607638889462	2.17646300470588	2.43087780963938	1.32819518411937	1.10268262552	16.4201623198777	17.8632743883573	23.6631172638527	7.98946523573786	15.9594777666562	3.25540331022569	12.7040744564305	0.273210924356355	16.2326886910126	15.9343225013753	0.297340237899432	0.386639692285288	0.493046385310052	40.8664774673278	2.83303000358457	34.2834367082351	4.60734081434525	1.19953142339786	0.976931581308015	40.8664774673278
VIC-019-CL	17.1235646636793	2.90801603706627	1.23482121091211	0.765517582968	0.469303627944111	0.736492325132348	0.275682098324111	25.3551967221242	17.1438907881018	9.71566788431422	6.2017023473352	3.51396553697902	0.128565429974214	9.84423331428843	8.80237043569543	0.236945863262883	0.021149142772415	0.367897378484061	67.6190953445621	16.7556672851953	1.01217442345646	4.14283724797838	1.12508147627261	1.78293456079365	67.6190953445621
